OBJECTID,ZIP,ZIP_dbl,Total_Population_2010,Total_Population_2011_2015_ACS,Population_25_years_and_over,Less_than_HS_or_GED,Percent_Less_than_HS_or_GED,BA_or_Higher,Percent_BA_or_Higher,GlobalID,last_edited_date
138,30205,30205,3061,3184,2186,155,7.1,763,34.9,{55CE44B4-BD74-4324-8586-34AC6FA25E1E},
139,30252,30252,41428,41595,26020,2013,7.7,7359,28.3,{3E194D95-4113-43DF-AB5A-A86A2B617BFF},
140,30290,30290,8286,8769,5966,419,7,2598,43.5,{1667BE6C-3D19-48CB-95DF-5A456CE9CFC0},
141,30564,30564,4463,3980,2586,576,22.3,588,22.7,{FA1DB353-6FCB-4183-A1C3-61EA7E39F556},
142,30141,30141,22457,21335,14180,1669,11.8,3010,21.2,{80DC79B6-90DB-4000-A2AA-5712703362B5},
143,30005,30005,34442,38887,23756,746,3.1,16000,67.4,{F76E3045-B6BF-4E99-8C2D-564884CBC147},
144,30041,30041,52749,57584,37563,2151,5.7,18408,49,{EA5F2BBD-4BD9-4292-A566-F62A66FA4C36},
145,30024,30024,64614,71960,43931,1972,4.5,25146,57.2,{55211B7D-BA60-46A5-A973-AF008B9E5D5F},
146,30132,30132,34215,36238,22524,2412,10.7,5770,25.6,{AF2F2506-9886-4958-9A52-8BDB25AAA0A7},
147,30101,30101,54373,57205,36165,2625,7.3,14007,38.7,{CD41EB67-11B3-4961-848A-5919BA5D5011},
148,30179,30179,16807,17899,12080,2928,24.2,991,8.2,{CF474640-638F-4299-993F-487B8605F7BB},
149,30157,30157,45123,48513,30724,3189,10.4,6539,21.3,{23E8CC31-2A81-4111-896F-FB4C581DCA0C},
150,30180,30180,34274,34754,21982,2914,13.3,4948,22.5,{377D774B-E5ED-4FFD-85EC-9CF533A15A8A},
151,30182,30182,2666,2712,1902,426,22.4,252,13.2,{AE741E41-CD25-4481-98AC-843CE9AE09BE},
152,30263,30263,53008,55013,35699,5773,16.2,7543,21.1,{81D4D384-F9F7-483C-A285-CB031E6E669B},
153,30120,30120,38085,39361,25597,4696,18.3,5418,21.2,{1FF52B58-7586-4FA2-94DE-BE4522B35A0C},
154,30184,30184,6847,7180,5181,615,11.9,1351,26.1,{77E5D6F5-AF81-40EB-9C0D-7FCAEC918528},
155,30171,30171,3491,3170,2262,376,16.6,443,19.6,{B80869B8-518C-4631-9E14-DBF74C397572},
156,30145,30145,8378,7812,5454,859,15.7,719,13.2,{035885E0-3749-4DA1-9D2B-3791CB58648F},
157,30103,30103,14781,16358,10410,2048,19.7,1277,12.3,{A03BA3E4-B7FA-42C8-9DAE-D333573859AF},
159,30527,30527,4043,4659,3144,342,10.9,727,23.1,{4309CCF4-97EF-47DE-B062-506C0897B2A8},
160,30504,30504,22463,23601,14340,4648,32.4,2272,15.8,{373C6268-E8A9-4ED6-8069-A64D4A9B1EAF},
161,30566,30566,7906,8234,5173,1116,21.6,1129,21.8,{5634B2AB-1159-4121-8BDE-5004BD98E984},
162,30518,30518,45211,48445,30338,3936,13,9662,31.8,{292CDDAF-DAEF-431A-9CFF-CCFA699D9D98},
163,30519,30519,39812,42904,26450,2630,9.9,10101,38.2,{38E44458-DDC8-4618-93B7-F03CB5DD94B0},
164,30542,30542,31946,35837,23365,3257,13.9,5680,24.3,{FDE1F818-E394-4F6A-96E5-F4AA2694F0A6},
165,30554,30554,8535,7456,4943,872,17.6,599,12.1,{A0A1D20E-7EE4-4ACE-9E84-54081E48514C},
