county,income,year,,,,,,,,,,,
Taylor,"26,301",2013,,,,,,,,,,,
Telfair,"19,065",2013,,,,,,,,,,,
Terrell,"36,068",2013,,,,,,,,,,,
Thomas,"36,171",2013,,,,,,,,,,,
Tift,"31,168",2013,,,,,,,,,,,
Toombs,"31,706",2013,,,,,,,,,,,
Towns,"31,722",2013,,,,,,,,,,,
Treutlen,"26,219",2013,,,,,,,,,,,
Troup,"32,177",2013,,,,,,,,,,,
Turner,"28,988",2013,,,,,,,,,,,
Twiggs,"32,061",2013,,,,,,,,,,,
Union,"31,106",2013,,,,,,,,,,,
Upson,"29,214",2013,,,,,,,,,,,
Walker,"28,550",2013,,,,,,,,,,,
Walton,"32,819",2013,,,,,,,,,,,
Ware,"28,184",2013,,,,,,,,,,,
Warren,"28,240",2013,,,,,,,,,,,
Washington,"30,743",2013,,,,,,,,,,,
Wayne,"27,480",2013,,,,,,,,,,,
Webster,"29,296",2013,,,,,,,,,,,
Wheeler,"17,756",2013,,,,,,,,,,,
White,"29,912",2013,,,,,,,,,,,
Whitfield,"30,678",2013,,,,,,,,,,,
Wilcox,"22,751",2013,,,,,,,,,,,
Wilkes,"33,873",2013,,,,,,,,,,,
Wilkinson,"30,651",2013,,,,,,,,,,,
Worth,"28,696",2013,,,,,,,,,,,
Appling,"29,185",2014,,,,,,,,,,,
Atkinson,"25,401",2014,,,,,,,,,,,
Bacon,"28,123",2014,,,,,,,,,,,
Baker,"33,768",2014,,,,,,,,,,,
Baldwin,"29,696",2014,,,,,,,,,,,
Banks,"31,820",2014,,,,,,,,,,,
Barrow,"32,808",2014,,,,,,,,,,,
Bartow,"33,610",2014,,,,,,,,,,,
Ben Hill,"28,123",2014,,,,,,,,,,,
Berrien,"27,819",2014,,,,,,,,,,,
Bibb,"36,125",2014,,,,,,,,,,,
Bleckley,"31,744",2014,,,,,,,,,,,
Brantley,"24,289",2014,,,,,,,,,,,
Brooks,"30,168",2014,,,,,,,,,,,
Bryan,"45,356",2014,,,,,,,,,,,
Bulloch,"28,496",2014,,,,,,,,,,,
Burke,"30,308",2014,,,,,,,,,,,
Butts,"28,749",2014,,,,,,,,,,,
Calhoun,"22,121",2014,,,,,,,,,,,
Camden,"32,187",2014,,,,,,,,,,,
Candler,"27,020",2014,,,,,,,,,,,
Carroll,"33,317",2014,,,,,,,,,,,
Catoosa,"31,282",2014,,,,,,,,,,,
Charlton,"22,230",2014,,,,,,,,,,,
Chatham,"41,651",2014,,,,,,,,,,,
Chattahoochee,"28,253",2014,,,,,,,,,,,
Chattooga,"27,178",2014,,,,,,,,,,,
Cherokee,"43,561",2014,,,,,,,,,,,
Clarke,"29,206",2014,,,,,,,,,,,
Clay,"25,899",2014,,,,,,,,,,,
Clayton,"25,279",2014,,,,,,,,,,,
Clinch,"31,609",2014,,,,,,,,,,,
Cobb,"48,582",2014,,,,,,,,,,,
Coffee,"27,968",2014,,,,,,,,,,,
Colquitt,"26,867",2014,,,,,,,,,,,
Columbia,"45,334",2014,,,,,,,,,,,
Cook,"27,828",2014,,,,,,,,,,,
Coweta,"40,676",2014,,,,,,,,,,,
Crawford,"29,904",2014,,,,,,,,,,,
Crisp,"28,038",2014,,,,,,,,,,,
Dade,"29,890",2014,,,,,,,,,,,
Dawson,"37,712",2014,,,,,,,,,,,
De Kalb,"29,297",2014,,,,,,,,,,,
Decatur,"42,044",2014,,,,,,,,,,,
Dodge,"27,135",2014,,,,,,,,,,,
Dooly,"23,820",2014,,,,,,,,,,,
Dougherty,"32,071",2014,,,,,,,,,,,
Douglas,"32,122",2014,,,,,,,,,,,
Early,"30,909",2014,,,,,,,,,,,
Echols,"24,481",2014,,,,,,,,,,,
Effingham,"36,942",2014,,,,,,,,,,,
Elbert,"31,450",2014,,,,,,,,,,,
Emanuel,"28,186",2014,,,,,,,,,,,
Evans,"30,565",2014,,,,,,,,,,,
Fannin,"30,948",2014,,,,,,,,,,,
Fayette,"53,004",2014,,,,,,,,,,,
Floyd,"33,751",2014,,,,,,,,,,,
Forsyth,"55,475",2014,,,,,,,,,,,
Franklin,"32,383",2014,,,,,,,,,,,
Fulton,"71,613",2014,,,,,,,,,,,
Gilmer,"31,833",2014,,,,,,,,,,,
Glascock,"29,944",2014,,,,,,,,,,,
Glynn,"40,155",2014,,,,,,,,,,,
Gordon,"31,363",2014,,,,,,,,,,,
Grady,"28,508",2014,,,,,,,,,,,
Greene,"45,846",2014,,,,,,,,,,,
Gwinnett,"36,712",2014,,,,,,,,,,,
Habersham,"30,578",2014,,,,,,,,,,,
Hall,"36,984",2014,,,,,,,,,,,
Hancock,"25,270",2014,,,,,,,,,,,
Haralson,"31,713",2014,,,,,,,,,,,
Harris,"42,069",2014,,,,,,,,,,,
Hart,"33,182",2014,,,,,,,,,,,
Heard,"28,464",2014,,,,,,,,,,,
Henry,"34,477",2014,,,,,,,,,,,
Houston,"37,956",2014,,,,,,,,,,,
Irwin,"26,740",2014,,,,,,,,,,,
Jackson,"34,885",2014,,,,,,,,,,,
Jasper,"32,591",2014,,,,,,,,,,,
Jeff Davis,"28,616",2014,,,,,,,,,,,
Jefferson,"28,181",2014,,,,,,,,,,,
Jenkins,"26,003",2014,,,,,,,,,,,
Johnson,"23,123",2014,,,,,,,,,,,
Jones,"33,267",2014,,,,,,,,,,,
Lamar,"29,621",2014,,,,,,,,,,,
Lanier,"24,772",2014,,,,,,,,,,,
Laurens,"31,308",2014,,,,,,,,,,,
Lee,"40,108",2014,,,,,,,,,,,
Liberty,"30,818",2014,,,,,,,,,,,
Lincoln,"32,313",2014,,,,,,,,,,,
Long,"30,438",2014,,,,,,,,,,,
Lowndes,"32,734",2014,,,,,,,,,,,
Lumpkin,"32,505",2014,,,,,,,,,,,
Macon,"29,026",2014,,,,,,,,,,,
Madison,"32,532",2014,,,,,,,,,,,
Marion,"25,921",2014,,,,,,,,,,,
McDuffie,"31,002",2014,,,,,,,,,,,
McIntosh,"29,403",2014,,,,,,,,,,,
Meriwether,"30,746",2014,,,,,,,,,,,
Miller,"33,690",2014,,,,,,,,,,,
Mitchell,"29,825",2014,,,,,,,,,,,
Monroe,"39,394",2014,,,,,,,,,,,
Montgomery,"26,742",2014,,,,,,,,,,,
Morgan,"40,803",2014,,,,,,,,,,,
Murray,"26,809",2014,,,,,,,,,,,
Muscogee,"36,618",2014,,,,,,,,,,,
Newton,"30,023",2014,,,,,,,,,,,
Oconee,"54,775",2014,,,,,,,,,,,
Oglethorpe,"35,142",2014,,,,,,,,,,,
Paulding,"32,860",2014,,,,,,,,,,,
Peach,"32,901",2014,,,,,,,,,,,
Pickens,"40,165",2014,,,,,,,,,,,
Pierce,"30,172",2014,,,,,,,,,,,
Pike,"33,750",2014,,,,,,,,,,,
Polk,"28,228",2014,,,,,,,,,,,
Pulaski,"27,661",2014,,,,,,,,,,,
Putnam,"36,685",2014,,,,,,,,,,,
Quitman,"26,657",2014,,,,,,,,,,,
Rabun,"34,776",2014,,,,,,,,,,,
Randolph,"27,029",2014,,,,,,,,,,,
Richmond,"32,292",2014,,,,,,,,,,,
Rockdale,"31,413",2014,,,,,,,,,,,
Schley,"29,289",2014,,,,,,,,,,,
Screven,"28,944",2014,,,,,,,,,,,
Seminole,"36,260",2014,,,,,,,,,,,
Spalding,"30,504",2014,,,,,,,,,,,
Stephens,"35,036",2014,,,,,,,,,,,
Stewart,"22,775",2014,,,,,,,,,,,
Sumter,"31,059",2014,,,,,,,,,,,
Talbot,"30,347",2014,,,,,,,,,,,
Taliaferro,"30,795",2014,,,,,,,,,,,
Tattnall,"27,209",2014,,,,,,,,,,,
Taylor,"26,179",2014,,,,,,,,,,,
Telfair,"20,450",2014,,,,,,,,,,,
Terrell,"35,660",2014,,,,,,,,,,,
Thomas,"37,054",2014,,,,,,,,,,,
Tift,"33,148",2014,,,,,,,,,,,
Toombs,"31,878",2014,,,,,,,,,,,
Towns,"31,861",2014,,,,,,,,,,,
Treutlen,"26,095",2014,,,,,,,,,,,
Troup,"33,307",2014,,,,,,,,,,,
Turner,"28,956",2014,,,,,,,,,,,
Twiggs,"34,311",2014,,,,,,,,,,,
Union,"32,282",2014,,,,,,,,,,,
Upson,"30,273",2014,,,,,,,,,,,
Walker,"29,406",2014,,,,,,,,,,,
Walton,"34,245",2014,,,,,,,,,,,
Ware,"29,345",2014,,,,,,,,,,,
Warren,"29,606",2014,,,,,,,,,,,
Washington,"31,578",2014,,,,,,,,,,,
Wayne,"28,248",2014,,,,,,,,,,,
Webster,"28,012",2014,,,,,,,,,,,
Wheeler,"17,505",2014,,,,,,,,,,,
White,"32,510",2014,,,,,,,,,,,
Whitfield,"33,179",2014,,,,,,,,,,,
Wilcox,"22,152",2014,,,,,,,,,,,
Wilkes,"35,856",2014,,,,,,,,,,,
Wilkinson,"32,689",2014,,,,,,,,,,,
Worth,"27,381",2014,,,,,,,,,,,
Appling,"31,414",2015,,,,,,,,,,,
Atkinson,"27,608",2015,,,,,,,,,,,
Bacon,"29,371",2015,,,,,,,,,,,
Baker,"34,292",2015,,,,,,,,,,,
Baldwin,"30,658",2015,,,,,,,,,,,
Banks,"33,769",2015,,,,,,,,,,,
Barrow,"34,115",2015,,,,,,,,,,,
Bartow,"35,017",2015,,,,,,,,,,,
Ben Hill,"29,547",2015,,,,,,,,,,,
Berrien,"30,094",2015,,,,,,,,,,,
Bibb,"37,160",2015,,,,,,,,,,,
Bleckley,"32,868",2015,,,,,,,,,,,
Brantley,"26,300",2015,,,,,,,,,,,
Brooks,"31,631",2015,,,,,,,,,,,
Bryan,"46,495",2015,,,,,,,,,,,
Bulloch,"30,079",2015,,,,,,,,,,,
Burke,"32,195",2015,,,,,,,,,,,
Butts,"30,480",2015,,,,,,,,,,,
Calhoun,"23,625",2015,,,,,,,,,,,
